"Index","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted","date"
"1",163.5,163.600006,157.201004,159.331497,88228000,159.331497,"2021-01-04"
"2",158.300507,161.169006,158.253006,160.925507,53110000,160.925507,"2021-01-05"
"3",157.324005,159.875504,156.557999,156.919006,87896000,156.919006,"2021-01-06"
"4",157.850006,160.427002,157.75,158.108002,70290000,158.108002,"2021-01-07"
"5",159,159.531998,157.110001,159.134995,70754000,159.134995,"2021-01-08"
"6",157.400497,157.819,155.5,155.710495,73668000,155.710495,"2021-01-11"
"7",156,157.106995,154.300003,156.041504,70292000,156.041504,"2021-01-12"
"8",156.421997,159.497498,156.104004,158.294495,66424000,158.294495,"2021-01-13"
"9",158.376007,158.899994,156.029495,156.373505,61418000,156.373505,"2021-01-14"
"10",156.151001,157.127502,154.758499,155.212494,84880000,155.212494,"2021-01-15"
"11",155.350006,157.25,154.800003,156.037994,66102000,156.037994,"2021-01-19"
"12",159.099503,163.990005,158.75,163.169006,106196000,163.169006,"2021-01-20"
"13",164.649994,167.427505,164.4785,165.349503,98722000,165.349503,"2021-01-21"
"14",165.2155,166.095505,164.158005,164.611496,56438000,164.611496,"2021-01-22"
"15",166.425003,168.194504,162.157501,164.699997,74996000,164.699997,"2021-01-25"
"16",164.817993,166.899994,164.143494,166.306503,59104000,166.306503,"2021-01-26"
"17",167.074493,167.326004,160.354004,161.628998,93204000,161.628998,"2021-01-27"
"18",161.751999,165.084,161.434494,161.880997,62984000,161.880997,"2021-01-28"
"19",161.5,161.849503,159.227493,160.309998,85872000,160.309998,"2021-01-29"
"20",162.117996,167.513,161.751495,167.143997,83204000,167.143997,"2021-02-01"
"21",169,171.386993,168.056503,169,141972000,169,"2021-02-02"
"22",171.250504,171.699997,165.431,165.626495,141776000,165.626495,"2021-02-03"
"23",166.5,167.350006,163.887497,166.550003,73414000,166.550003,"2021-02-04"
"24",165.949997,168.850006,165.135498,167.607498,72416000,167.607498,"2021-02-05"
"25",167.925003,168.25,165.199997,166.147003,65148000,166.147003,"2021-02-08"
"26",165.624496,166.899994,164.891998,165.25,44070000,165.25,"2021-02-09"
"27",165.699997,165.897507,162.699997,164.328995,63032000,164.328995,"2021-02-10"
"28",164.600006,164.600006,162.403,163.106506,46028000,163.106506,"2021-02-11"
"29",162.5,164.012497,161.665497,163.885498,46706000,163.885498,"2021-02-12"
"30",162.702499,165.414993,162.679504,163.447495,51494000,163.447495,"2021-02-16"
"31",163.179993,166.045502,162.975006,165.432007,65950000,165.432007,"2021-02-17"
"32",164.121002,166.899994,163.697006,166.411499,60548000,166.411499,"2021-02-18"
"33",166.411499,166.675003,162.287506,162.494995,86104000,162.494995,"2021-02-19"
"34",160.406494,161.615997,158.613007,159.037003,70314000,159.037003,"2021-02-22"
"35",156.351501,160.236496,154.679993,159.725006,93544000,159.725006,"2021-02-23"
"36",158.337494,158.561493,156.268997,157.976501,60226000,157.976501,"2021-02-24"
"37",156.837006,158.912994,152.388,152.858002,90676000,152.858002,"2021-02-25"
"38",154.759995,156.121994,151.835007,154.6465,85518000,154.6465,"2021-02-26"
"39",156.394501,157.477997,154.899506,157.307007,54582000,157.307007,"2021-03-01"
"40",157.173492,158.175995,154.356003,154.726501,51916000,154.726501,"2021-03-02"
"41",154.059006,155.389008,149.75,150.25,79774000,150.25,"2021-03-03"
"42",150.600006,152.906494,147.2715,148.878494,109632000,148.878494,"2021-03-04"
"43",150.25,150.449997,144.050003,150.022995,107772000,150.022995,"2021-03-05"
"44",150.75,153.229507,147.565506,147.597504,83700000,147.597504,"2021-03-08"
"45",150.899506,154.548004,150.257507,153.142502,80600000,153.142502,"2021-03-09"
"46",154.922501,155.822998,151.502502,152.882004,60250000,152.882004,"2021-03-10"
"47",155.2005,156.589005,154.1465,155.679504,55528000,155.679504,"2021-03-11"
"48",153.75,154.949005,152.274994,154.474503,48438000,154.474503,"2021-03-12"
"49",153.7285,154.112,151.604507,154.084,58272000,154.084,"2021-03-15"
"50",155.248505,156.445496,153.792999,154.593002,50776000,154.593002,"2021-03-16"
"51",153.660995,158.652496,153.511002,156.786499,62372000,156.786499,"2021-03-17"
"52",155.050003,155.831497,151.25,151.399506,72992000,151.399506,"2021-03-18"
"53",151.461502,153.864502,150.831497,153.748001,92508000,153.748001,"2021-03-19"
"54",153.392502,156.328995,153.002502,155.543503,58044000,155.543503,"2021-03-22"
"55",156.350006,159.100006,156.042496,156.875,76346000,156.875,"2021-03-23"
"56",157.552002,158.015503,154.257507,154.3535,59180000,154.3535,"2021-03-24"
