pkey,id,date,security,asset,liability
142,107,2002-03-31,4908,28972,25553
143,107,2002-06-30,4564,29514,25840
144,107,2002-09-30,3962,29495,25713
145,107,2002-12-31,3991,31124,27397
146,108,2002-03-31,184,225136,204766
147,108,2002-06-30,190,215643,194580
148,108,2002-09-30,0,220998,199227
149,108,2002-12-31,0,220984,198915
150,109,2002-03-31,526,65162,58635
151,109,2002-06-30,469,66379,59665
152,109,2002-09-30,402,67701,60873
153,109,2002-12-31,351,67341,60394
154,110,2002-03-31,130839,865146,792631
155,110,2002-06-30,141331,894774,815944
156,110,2002-09-30,172184,963847,880698
157,110,2002-12-31,156710,1030000,947189
158,131,2002-03-31,349389,1250000,1160000
159,131,2002-06-30,366833,1200000,1100000
160,131,2002-09-30,355940,1190000,1090000
161,131,2002-12-31,485209,1280000,1180000
162,134,2002-03-31,9040,149573,137356
163,134,2002-06-30,9726,150191,137624
164,134,2002-09-30,11127,153028,140382
165,134,2002-12-31,13185,154107,141160
166,147,2002-03-31,4206,128790,114505
167,147,2002-06-30,4302,124989,111007
168,147,2002-09-30,4186,130609,116152
169,147,2002-12-31,3615,130111,115216
170,148,2002-03-31,1135,114267,102437
171,148,2002-06-30,1010,112542,100252
172,148,2002-09-30,1024,111973,99125
173,148,2002-12-31,1016,119521,106266
174,149,2002-03-31,520,60855,55935
175,149,2002-06-30,466,61716,56770
176,149,2002-09-30,426,63123,58301
177,149,2002-12-31,370,69047,57082
178,151,2002-03-31,23155,507593,464484
179,151,2002-06-30,25423,504236,459627
180,151,2002-09-30,27770,546922,499725
181,151,2002-12-31,31691,429103,381580
182,155,2002-03-31,2938,50571,42852
183,155,2002-06-30,1243,55710,47798
184,155,2002-09-30,1853,61574,53288
185,155,2002-12-31,2424,66660,58439
186,156,2002-03-31,0,59357,55489
187,156,2002-06-30,0,59580,55388
188,156,2002-09-30,0,61504,57035
189,156,2002-12-31,0,64661,59869
190,158,2002-03-31,72,82547,77798
191,158,2002-06-30,72,79038,74123
192,158,2002-09-30,61,81189,76279
193,158,2002-12-31,60,83628,78678
194,159,2002-03-31,31,47652,40690
195,159,2002-06-30,31,47104,40087
196,159,2002-09-30,30,43641,36542
197,159,2002-12-31,26,46262,39110
198,160,2002-03-31,29382,151518,135857
199,160,2002-06-30,30170,147422,131215
200,160,2002-09-30,26500,150495,133947
201,160,2002-12-31,21534,157652,141450
202,161,2002-03-31,2779,182966,169817
203,161,2002-06-30,2755,190240,173236
204,161,2002-09-30,4796,193716,176488
205,161,2002-12-31,2226,193562,175791
206,169,2002-03-31,12659,242267,217656
207,169,2002-06-30,13181,287020,257936
208,169,2002-09-30,12246,296612,261735
209,169,2002-12-31,10698,300884,265662
210,170,2002-03-31,216,17453,15067
211,170,2002-06-30,193,17485,14942
212,170,2002-09-30,171,16634,13986
213,170,2002-12-31,564,18105,15433
214,172,2002-03-31,36979,488343,440049
215,172,2002-06-30,36589,501086,449854
216,172,2002-09-30,34196,515370,462096
217,172,2002-12-31,33276,493145,437974
218,173,2002-03-31,11213,129149,119591
219,173,2002-06-30,17311,133997,123811
220,173,2002-09-30,16035,136403,125756
221,173,2002-12-31,14537,135163,124139
222,175,2002-03-31,11926,78403,69145
223,175,2002-06-30,11268,77355,67598
224,175,2002-09-30,11222,76409,66479
225,175,2002-12-31,10217,76796,66938
226,178,2002-03-31,8693,62013,57221
227,178,2002-06-30,4941,62341,56978
228,178,2002-09-30,0,61769,56037
229,178,2002-12-31,0,62382,56710
230,182,2002-03-31,20782,206540,183633
231,182,2002-06-30,20377,205702,181027
232,182,2002-09-30,29641,207662,182062
233,182,2002-12-31,36777,209068,183681
234,183,2002-03-31,19685,96051,85555
235,183,2002-06-30,19212,96320,85268
236,183,2002-09-30,18151,101771,89983
237,183,2002-12-31,24832,103686,92863
238,186,2002-03-31,67654,522265,473366
239,186,2002-06-30,68166,533962,485908
240,186,2002-09-30,60603,555308,505616
241,186,2002-12-31,86783,631879,576611
242,190,2002-03-31,3263,322425,295978
243,190,2002-06-30,11760,333798,305171
244,190,2002-09-30,12821,346994,317353
245,190,2002-12-31,20552,362158,331460
246,193,2002-03-31,20814,226329,198823
247,193,2002-06-30,20373,223353,193979
248,193,2002-09-30,19315,225470,195296
249,193,2002-12-31,21978,230854,200870
250,195,2002-03-31,0,50501,44986
251,195,2002-06-30,0,50220,44568
252,195,2002-09-30,0,51329,45577
253,195,2002-12-31,0,52628,46806
254,197,2002-03-31,13168,114849,104416
255,197,2002-06-30,11650,115013,104164
256,197,2002-09-30,10734,119174,107746
257,197,2002-12-31,10893,124540,113085
258,202,2002-03-31,1565,72640,64410
259,202,2002-06-30,7653,79229,71905
260,202,2002-09-30,7075,84106,76700
261,202,2002-12-31,6074,76549,69058
262,210,2002-03-31,340,130047,114321
263,210,2002-06-30,325,129810,113639
264,210,2002-09-30,304,129962,113132
265,210,2002-12-31,282,124680,107963
266,212,2002-03-31,0,34289,31191
267,212,2002-06-30,0,34689,31548
268,212,2002-09-30,0,35131,31875
269,212,2002-12-31,0,36784,33423
270,213,2002-03-31,2737,58676,52169
271,213,2002-06-30,3613,59562,52886
272,213,2002-09-30,4299,59982,53201
273,213,2002-12-31,5178,62194,55513
274,214,2002-03-31,10165,156209,138329
275,214,2002-06-30,10812,157830,139057
276,214,2002-09-30,10244,163164,143655
277,214,2002-12-31,15370,167752,148610
278,218,2002-03-31,7,40145,37393
279,219,2002-03-31,189,42546,39400
280,219,2002-06-30,147,40582,37072
281,219,2002-09-30,109,39743,35948
282,219,2002-12-31,97,38463,34629
283,222,2002-03-31,0,66581,61886
284,222,2002-06-30,0,69267,64436
285,222,2002-09-30,0,70035,65047
286,222,2002-12-31,0,71919,66871
287,223,2002-03-31,318,19897,18053
288,223,2002-06-30,269,19856,18000
289,223,2002-09-30,236,19371,17485
290,223,2002-12-31,199,20973,19075
291,225,2002-03-31,0,14481,13192
292,225,2002-06-30,0,15857,14551
293,225,2002-09-30,0,16361,15020
294,225,2002-12-31,0,17735,16364
295,226,2002-03-31,931,64597,59485
296,226,2002-06-30,835,64604,59239
297,226,2002-09-30,707,66238,60591
298,226,2002-12-31,575,68009,62261
299,227,2002-03-31,3561,45147,41024
300,227,2002-06-30,3294,44574,40273
301,227,2002-09-30,4927,45171,40619
302,227,2002-12-31,5588,47049,42491
303,228,2002-03-31,276,246043,227648
304,228,2002-06-30,244,247602,228172
305,228,2002-09-30,236,249623,228323
306,228,2002-12-31,222,261289,239065
307,230,2002-03-31,6039,61108,56661
308,230,2002-06-30,5453,62113,57324
309,230,2002-09-30,4866,64680,59505
310,230,2002-12-31,5119,67315,62221
311,231,2002-03-31,0,78435,70088
312,231,2002-06-30,0,78841,70242
313,231,2002-09-30,0,81518,72530
314,231,2002-12-31,0,78762,70248
315,232,2002-03-31,62,66128,55915
316,232,2002-06-30,58,68066,57781
317,232,2002-09-30,55,68426,57977
318,232,2002-12-31,52,68885,58201
319,234,2002-03-31,2904,55204,47914
320,234,2002-06-30,2630,55180,47695
321,234,2002-09-30,2596,56940,49249
322,234,2002-12-31,2174,56866,49406
323,235,2002-03-31,764,44533,40465
324,235,2002-06-30,764,45258,41097
325,235,2002-09-30,764,47163,42848
326,235,2002-12-31,763,49260,44897
327,236,2002-03-31,3032,32492,29721
328,236,2002-06-30,3477,31988,29048
329,236,2002-09-30,4037,30911,27797
330,236,2002-12-31,3901,31767,28550
331,238,2002-03-31,0,22267,19796
332,238,2002-06-30,0,22502,19922
333,238,2002-09-30,0,23407,20754
334,238,2002-12-31,0,24273,21514
335,239,2002-03-31,0,51058,47128
336,239,2002-06-30,0,47494,43555
337,239,2002-09-30,0,46448,42478
338,239,2002-12-31,0,47531,43596
339,243,2002-03-31,0,49251,44150
340,243,2002-06-30,0,49156,43924
341,243,2002-09-30,0,49732,44462
342,243,2002-12-31,617,50622,45622
343,245,2002-03-31,9238,92528,84022
344,245,2002-06-30,11080,92680,83978
345,245,2002-09-30,11835,89594,80770
346,245,2002-12-31,11448,94397,85512
347,248,2002-03-31,24,63144,57810
348,248,2002-06-30,23,67009,61510
349,248,2002-09-30,21,68747,63152
350,248,2002-12-31,21,71140,65371
351,249,2002-03-31,3283,39894,36169
352,249,2002-06-30,4135,41026,37031
353,249,2002-09-30,4151,39361,35284
354,249,2002-12-31,6183,40465,36529
355,251,2002-03-31,1192,54578,49213
356,251,2002-06-30,4090,53828,47957
357,251,2002-09-30,3880,52892,46922
358,251,2002-12-31,9492,55837,49555
359,252,2002-03-31,3088,70308,64301
360,252,2002-06-30,13673,73097,66952
361,252,2002-09-30,13133,74612,68243
362,252,2002-12-31,15969,82737,76427
363,253,2002-03-31,34,94573,85796
364,253,2002-06-30,25,95885,86484
365,253,2002-09-30,13,100040,90145
366,253,2002-12-31,9,102194,92103
367,254,2002-03-31,301,91614,82090
368,254,2002-06-30,268,89126,78804
369,254,2002-09-30,241,94605,83541
370,254,2002-12-31,218,97655,86339
371,255,2002-03-31,6602,75027,68292
372,255,2002-06-30,7186,76350,69240
373,255,2002-09-30,6621,76396,68965
374,255,2002-12-31,6435,78934,72193
375,256,2002-03-31,914,41929,33697
376,256,2002-06-30,1550,42909,34505
377,256,2002-09-30,1851,42699,34115
378,256,2002-12-31,3271,42998,34416
379,258,2002-03-31,9066,996764,909563
380,258,2002-06-30,8315,973551,881111
381,258,2002-09-30,8228,1060000,961051
382,258,2002-12-31,7224,1040000,935335
383,262,2002-03-31,294,114574,103423
384,262,2002-06-30,235,118705,106977
385,262,2002-09-30,206,118588,106310
386,262,2002-12-31,176,120134,107919
387,264,2002-03-31,775,58127,53371
388,264,2002-06-30,486,58875,54352
389,264,2002-09-30,0,58786,54132
390,264,2002-12-31,0,58085,53359
391,266,2002-03-31,6037,57977,47595
392,266,2002-06-30,7406,57625,46724
393,266,2002-09-30,7352,58129,46625
394,266,2002-12-31,6396,57709,45936
395,267,2002-03-31,20448,135517,96989
